Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
*,2,0,7 * 97,679,679,
*,2,1,61 * 79,4819,4819,
*,2,2,31 * 73,2263,2263,
*,2,3,107 * 103,11021,11021,
*,2,4,41 * 43,1763,1763,
*,2,5,73 * 53,3869,3869,
*,2,6,127 * 89,11303,11293,
*,2,7,83 * 29,2407,2407,
*,2,8,37 * 107,3959,3959,
*,2,9,73 * 47,3431,3431,
*,2,10,67 * 37,2479,2479,
*,2,11,37 * 59,2183,2183,
*,2,12,7 * 5,35,35,
*,2,13,127 * 17,2159,2159,
*,2,14,17 * 83,1411,1411,
*,2,15,109 * 89,9701,9701,
*,2,16,103 * 29,2987,2987,
*,2,17,3 * 89,267,267,
*,2,18,13 * 103,1339,1339,
*,2,19,13 * 43,559,559,
*,3,0,83 * 89 * 107,790409,800191,
*,3,1,19 * 41 * 2,1558,1558,
*,3,2,73 * 101 * 53,390769,392369,
*,3,3,127 * 41 * 37,192659,193031,
*,3,4,2 * 2 * 59,236,236,
*,3,5,2 * 43 * 5,430,430,
*,3,6,53 * 3 * 11,1749,1749,
*,3,7,79 * 13 * 5,5135,5135,
*,3,8,37 * 127 * 31,145669,145229,
*,3,9,53 * 59 * 37,115699,116191,
*,3,10,79 * 79 * 2,12482,12442,
*,3,11,37 * 89 * 67,220631,221293,
*,3,12,61 * 23 * 7,9821,9311,
*,3,13,7 * 43 * 97,29197,29299,
*,3,14,29 * 29 * 59,49619,49079,
*,3,15,23 * 11 * 23,5819,5809,
*,3,16,53 * 73 * 113,437197,438277,
*,3,17,89 * 43 * 31,118637,119087,
*,3,18,127 * 71 * 103,928751,926531,
*,3,19,73 * 53 * 2,7738,7738,
*,4,0,89 * 47 * 41 * 13,2229539,19551389,
*,4,1,31 * 5 * 3 * 37,17205,17205,
*,4,2,97 * 107 * 23 * 107,25542719,274119429,
*,4,3,61 * 29 * 11 * 41,797819,860869,
*,4,4,73 * 11 * 109 * 67,5864309,57370691,
*,4,5,23 * 113 * 17 * 73,3225359,31004209,
*,4,6,17 * 43 * 31 * 127,2877947,33435419,
*,4,7,23 * 29 * 11 * 43,315491,320263,
*,4,8,3 * 7 * 83 * 31,54033,190191,
*,4,9,89 * 109 * 67 * 31,20148977,202954961,
*,4,10,103 * 89 * 113 * 59,61116389,606275489,
*,4,11,17 * 107 * 11 * 61,1220549,12880149,
*,4,12,23 * 107 * 47 * 5,578335,2770075,
*,4,13,5 * 17 * 107 * 19,172805,173915,
*,4,14,89 * 59 * 17 * 97,8658899,81499823,
*,4,15,37 * 97 * 17 * 61,3721793,4053781,
*,4,16,3 * 5 * 47 * 43,30315,28515,
*,4,17,113 * 17 * 103 * 53,10486739,10760509,
*,4,18,73 * 37 * 89 * 5,1201945,9031425,
*,4,19,43 * 97 * 23 * 13,1247129,1372881,
*,5,0,37 * 23 * 31 * 19 * 31,15538409,139802207,
*,5,1,13 * 41 * 43 * 61 * 23,32155357,335713506,
*,5,2,3 * 59 * 107 * 3 * 17,965889,9174099,
*,5,3,47 * 73 * 53 * 17 * 41,126744571,131277163,
*,5,4,59 * 71 * 13 * 23 * 79,98948369,1362331107,
*,5,5,101 * 109 * 73 * 103 * 127,10512637217,118110701427,
*,5,6,127 * 2 * 7 * 2 * 11,39116,38764,
*,5,7,107 * 71 * 29 * 71 * 5,78211115,78839035,
*,5,8,31 * 67 * 101 * 47 * 17,167611823,3513672731,
*,5,9,17 * 31 * 101 * 5 * 107,28476445,8993235,
*,5,10,31 * 23 * 37 * 97 * 107,273808399,2559356397,
*,5,11,107 * 13 * 19 * 97 * 61,156380393,977282227,
*,5,12,11 * 61 * 109 * 11 * 47,37812863,91649861,
*,5,13,73 * 19 * 7 * 11 * 43,4592357,9286211,
*,5,14,101 * 3 * 2 * 67 * 71,2882742,2864334,
*,5,15,13 * 19 * 71 * 101 * 19,33653503,317786539,
*,5,16,11 * 113 * 89 * 13 * 13,18695963,202663187,
*,5,17,83 * 43 * 5 * 31 * 41,22680995,28628825,
*,5,18,23 * 7 * 53 * 17 * 101,14651161,18400721,
*,5,19,79 * 19 * 107 * 11 * 83,146634191,135901417,
*,6,0,101 * 113 * 103 * 17 * 17 * 5,1698653855,182338605,
*,6,1,53 * 37 * 107 * 17 * 79 * 73,20571229253,88732154449,
*,6,2,89 * 17 * 97 * 47 * 71 * 101,49463887157,61201294861,
*,6,3,19 * 29 * 37 * 107 * 101 * 97,21371263973,22525278461,
*,6,4,13 * 31 * 11 * 107 * 97 * 47,2162475029,218447906121,
*,6,5,97 * 101 * 43 * 53 * 109 * 109,265271399803,1452911964189,
*,6,6,101 * 89 * 47 * 13 * 7 * 109,4190608877,43110174149,
*,6,7,7 * 89 * 2 * 41 * 29 * 89,131852966,311115994,
*,6,8,71 * 107 * 79 * 11 * 3 * 107,2119175553,4200303069,
*,6,9,17 * 107 * 2 * 2 * 5 * 23,836740,2639020,
*,6,10,127 * 37 * 127 * 41 * 11 * 47,12649797281,357838344921,
*,6,11,101 * 17 * 101 * 107 * 97 * 59,106193807537,1100465330299,
*,6,12,3 * 127 * 71 * 47 * 107 * 5,680197395,402012285,
*,6,13,43 * 37 * 97 * 71 * 71 * 7,5445736849,31498709071,
*,6,14,23 * 29 * 43 * 19 * 97 * 13,687168079,21194546289,
*,6,15,101 * 17 * 3 * 67 * 109 * 101,3799393053,10739970199,
*,6,16,23 * 53 * 3 * 43 * 2 * 47,14781594,39465732,
*,6,17,59 * 113 * 73 * 41 * 67 * 67,89574991859,1524139832789,
*,6,18,73 * 13 * 2 * 2 * 31 * 59,6942884,19840612,
*,6,19,79 * 43 * 37 * 43 * 2 * 53,572890462,423752886,
*,7,0,29 * 71 * 13 * 73 * 113 * 41 * 19,172003965757,177156688171,
*,7,1,19 * 37 * 113 * 47 * 3 * 53 * 79,46898164113,39698462649,
*,7,2,61 * 5 * 37 * 31 * 11 * 37 * 113,16089261485,6461664655,
*,7,3,31 * 41 * 11 * 97 * 17 * 61 * 59,82973753731,921247141797,
