Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
-,2,0,47 - 113,-66,-66,
-,2,1,107 - 29,78,78,
-,2,2,59 - 71,-12,-12,
-,2,3,89 - 17,72,72,
-,2,4,31 - 5,26,26,
-,2,5,47 - 53,-6,-6,
-,2,6,79 - 17,62,62,
-,2,7,103 - 23,80,80,
-,2,8,19 - 43,-24,-24,
-,2,9,7 - 47,-40,-40,
-,2,10,107 - 47,60,60,
-,2,11,3 - 13,-10,-10,
-,2,12,73 - 29,44,44,
-,2,13,31 - 29,2,2,
-,2,14,5 - 79,-74,-74,
-,2,15,101 - 107,-6,-6,
-,2,16,23 - 37,-14,-14,
-,2,17,2 - 83,-81,-81,
-,2,18,67 - 53,14,14,
-,2,19,17 - 73,-56,-56,
-,3,0,37 - 59 - 5,-27,-27,
-,3,1,29 - 23 - 113,-107,-107,
-,3,2,61 - 11 - 53,-3,-3,
-,3,3,61 - 37 - 127,-103,-103,
-,3,4,97 - 113 - 73,-89,-89,
-,3,5,53 - 103 - 17,-67,-67,
-,3,6,113 - 67 - 97,-51,-51,
-,3,7,101 - 19 - 23,59,59,
-,3,8,41 - 47 - 97,-103,-103,
-,3,9,109 - 79 - 127,-97,-97,
-,3,10,61 - 79 - 127,-145,-145,
-,3,11,67 - 89 - 67,-89,-89,
-,3,12,31 - 11 - 13,7,7,
-,3,13,3 - 43 - 109,-149,-149,
-,3,14,83 - 19 - 127,-63,-63,
-,3,15,107 - 107 - 11,-11,-11,
-,3,16,103 - 103 - 73,-73,-73,
-,3,17,19 - 5 - 107,-93,-93,
-,3,18,13 - 103 - 7,-97,-97,
-,3,19,41 - 83 - 67,-109,-109,
-,4,0,17 - 53 - 71 - 29,-136,-136,
-,4,1,17 - 113 - 97 - 103,-296,-296,
-,4,2,71 - 41 - 53 - 17,-40,-40,
-,4,3,31 - 73 - 113 - 43,-198,-198,
-,4,4,109 - 43 - 61 - 11,-6,-6,
-,4,5,59 - 59 - 37 - 127,-164,-164,
-,4,6,59 - 67 - 83 - 7,-98,-98,
-,4,7,7 - 19 - 73 - 37,-122,-122,
-,4,8,31 - 89 - 109 - 107,-274,-274,
-,4,9,11 - 61 - 109 - 53,-212,-212,
-,4,10,3 - 97 - 59 - 19,-172,-172,
-,4,11,113 - 2 - 41 - 73,-3,-3,
-,4,12,97 - 2 - 103 - 103,-111,-111,
-,4,13,17 - 67 - 5 - 97,-152,-152,
-,4,14,97 - 47 - 43 - 7,0,0,
-,4,15,97 - 19 - 23 - 7,48,48,
-,4,16,59 - 47 - 113 - 17,-118,-118,
-,4,17,127 - 13 - 19 - 59,36,36,
-,4,18,79 - 97 - 67 - 41,-126,-126,
-,4,19,109 - 107 - 19 - 37,-54,-54,
-,5,0,79 - 107 - 11 - 11 - 19,-69,-69,
-,5,1,79 - 29 - 107 - 11 - 109,-177,-177,
-,5,2,61 - 41 - 47 - 41 - 109,-177,-177,
-,5,3,109 - 61 - 89 - 109 - 89,-239,-239,
-,5,4,71 - 101 - 13 - 89 - 67,-199,-199,
-,5,5,101 - 71 - 89 - 73 - 11,-143,-143,
-,5,6,7 - 71 - 59 - 7 - 41,-171,-171,
-,5,7,2 - 37 - 101 - 107 - 7,-250,-250,
-,5,8,71 - 11 - 103 - 3 - 67,-113,-113,
-,5,9,97 - 5 - 23 - 11 - 113,-55,-55,
-,5,10,79 - 127 - 67 - 43 - 97,-255,-255,
-,5,11,41 - 5 - 83 - 73 - 2,-122,-122,
-,5,12,61 - 109 - 109 - 67 - 31,-255,-255,
-,5,13,107 - 17 - 23 - 109 - 41,-83,-83,
-,5,14,41 - 37 - 13 - 61 - 19,-89,-89,
-,5,15,109 - 19 - 47 - 17 - 101,-75,-75,
-,5,16,5 - 83 - 31 - 79 - 67,-255,-255,
-,5,17,43 - 2 - 2 - 19 - 47,-27,-27,
-,5,18,53 - 109 - 13 - 41 - 83,-193,-193,
-,5,19,2 - 7 - 7 - 37 - 13,-62,-62,
-,6,0,97 - 107 - 113 - 83 - 29 - 103,-338,-338,
-,6,1,17 - 7 - 79 - 73 - 43 - 5,-190,-190,
-,6,2,43 - 73 - 97 - 41 - 109 - 61,-338,-338,
-,6,3,23 - 83 - 31 - 59 - 53 - 3,-206,-206,
-,6,4,103 - 19 - 73 - 71 - 29 - 101,-190,-190,
-,6,5,67 - 107 - 41 - 2 - 7 - 41,-131,-131,
-,6,6,103 - 79 - 53 - 11 - 29 - 107,-176,-176,
-,6,7,5 - 17 - 97 - 127 - 17 - 73,-326,-326,
-,6,8,71 - 89 - 97 - 19 - 53 - 79,-266,-266,
-,6,9,7 - 7 - 127 - 101 - 109 - 89,-426,-426,
-,6,10,13 - 89 - 13 - 103 - 103 - 13,-308,-308,
-,6,11,101 - 2 - 127 - 79 - 11 - 103,-221,-221,
-,6,12,2 - 107 - 43 - 7 - 59 - 61,-275,-275,
-,6,13,37 - 19 - 2 - 103 - 3 - 61,-151,-151,
-,6,14,53 - 113 - 89 - 107 - 31 - 23,-310,-310,
-,6,15,67 - 109 - 73 - 71 - 89 - 79,-354,-354,
-,6,16,5 - 7 - 71 - 89 - 11 - 7,-180,-180,
-,6,17,2 - 89 - 89 - 29 - 61 - 3,-269,-269,
-,6,18,2 - 127 - 83 - 7 - 103 - 23,-341,-341,
-,6,19,19 - 31 - 61 - 59 - 61 - 101,-294,-294,
-,7,0,79 - 73 - 7 - 13 - 89 - 11 - 3,-117,-117,
-,7,1,19 - 109 - 47 - 11 - 73 - 19 - 3,-243,-243,
-,7,2,41 - 3 - 101 - 17 - 53 - 37 - 2,-172,-172,
-,7,3,107 - 17 - 73 - 127 - 71 - 73 - 11,-265,-165,
-,7,4,103 - 61 - 71 - 113 - 41 - 17 - 47,-247,-247,
-,7,5,31 - 11 - 43 - 59 - 29 - 83 - 17,-211,-211,
-,7,6,47 - 19 - 31 - 43 - 101 - 23 - 13,-183,-183,
-,7,7,107 - 41 - 47 - 3 - 47 - 97 - 127,-255,-255,
-,7,8,53 - 97 - 5 - 89 - 79 - 107 - 11,-335,-335,
-,7,9,109 - 17 - 109 - 71 - 37 - 67 - 47,-239,-189,
-,7,10,31 - 13 - 2 - 43 - 61 - 43 - 31,-162,-162,
-,7,11,13 - 59 - 23 - 61 - 59 - 71 - 17,-277,-277,
-,7,12,113 - 5 - 37 - 67 - 37 - 67 - 43,-143,-143,
-,7,13,47 - 89 - 31 - 7 - 11 - 13 - 19,-123,-123,
-,7,14,71 - 29 - 47 - 83 - 29 - 37 - 67,-221,-221,
-,7,15,83 - 89 - 11 - 31 - 127 - 11 - 17,-203,-203,
-,7,16,31 - 113 - 101 - 13 - 53 - 97 - 71,-417,-417,
-,7,17,73 - 73 - 43 - 109 - 29 - 127 - 41,-349,-349,
-,7,18,113 - 83 - 79 - 103 - 59 - 7 - 37,-255,-255,
-,7,19,29 - 71 - 19 - 89 - 11 - 97 - 97,-355,-355,
-,8,0,101 - 47 - 17 - 61 - 11 - 61 - 23 - 3,-122,-22,
-,8,1,5 - 47 - 43 - 59 - 11 - 17 - 113 - 29,-314,-314,
-,8,2,101 - 13 - 7 - 31 - 41 - 23 - 43 - 37,-94,-94,
-,8,3,67 - 103 - 71 - 37 - 79 - 89 - 73 - 47,-432,-422,
-,8,4,3 - 2 - 13 - 103 - 89 - 59 - 113 - 7,-383,-383,
-,8,5,17 - 59 - 103 - 11 - 43 - 41 - 71 - 127,-438,-438,
-,8,6,97 - 71 - 67 - 2 - 59 - 43 - 2 - 31,-178,-178,
-,8,7,107 - 97 - 109 - 47 - 67 - 13 - 41 - 23,-290,-190,
-,8,8,23 - 127 - 2 - 79 - 71 - 83 - 41 - 89,-469,-469,
-,8,9,109 - 17 - 83 - 101 - 43 - 3 - 43 - 97,-278,-368,
-,8,10,79 - 13 - 67 - 97 - 89 - 31 - 5 - 113,-336,-336,
-,8,11,31 - 11 - 11 - 47 - 83 - 89 - 47 - 41,-298,-297,
